institutionID,branchNum,acctid,acctName,acctPwd,currencyIdList,ThirdSystemId,productNumList,reckoningtime,prodAcctType,validFlag,lastLoginValidFlag,loginTimes,priority,TradeDate,ReckoningStatus,Memo,CustID,CustPwd,ExchIdList,debtAutoPaidFlag,fileThirdSystemId,PBTBusinessType,defaultPortfolio,specDefaultPortfolio,arbDefaultPortfolio,hedgeDefaultPortfolio,acctPermitList,branchCode,ownertype,tradeThirdSystemId,settleAcctId,settleAcctPwd,attachacctID,attachThirdSystemId
B机构,3,000020220229,B2产品,,RMB,22,,20221008162624.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
B机构,3,000020220230,B3产品,,RMB,22,,20221008162624.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,2401
SAJG,3,000020220517,现货,,RMB,22,,20221008163246.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SAJG,3,000020220518,期货,,RMB,22,,20221008163247.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SACS,3,000020220521,现货,,RMB,22,,20220729120728.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SACS,3,000020220522,期货,,RMB,22,,20220729120729.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SBCS,3,000020220523,信用,,RMB,22,,20221008163307.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SBCS,3,000020220524,期货,,RMB,22,,20221008163308.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
NAJG,3,000020220527,现货,Op0kkeRURWnrIz8dW2IKQw==,RMB,22,,20221008163338.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
NAJG,3,000020220528,期货,,RMB,22,,20221008163339.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
NACS,3,000020220531,现货,,RMB,22,,20221008163359.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
NBCS,3,000020220532,信用,,RMB,22,,20221008163359.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
TOB,3,000020220728,B账户,,RMB,22,163,20221008164158.0,3,,,0,0,20221014,0,,,,ALL,,,,220,,,,,,,,000020220728,,,22
ZJCF,28,000020220730,B产品,,RMB,22,173^172,20221008164318.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
TOOD,3,000020220801,TOOD2,fvpq9Xw8+vilJBZotF8wOg==,RMB,22,,20221008164318.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SEB,28,000020220815,B1,,RMB,22,,20221008164857.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SEB,28,000020220816,B2,,RMB,22,,20221008164857.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SEB,28,000020220817,B3,,RMB,22,,20221008164900.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SEB,28,000020220818,B4,,RMB,22,,20221008164900.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SEC,28,000020220819,C1,,RMB,22,,20221008164904.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SEC,28,000020220820,C2,,RMB,22,,20221008164904.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
SEC,28,000020220821,C3,,RMB,22,,20221008164904.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
SEC,28,000020220822,C4,,RMB,22,,20221008164904.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
20228803,3,000202208103,HLC机构信用账户,,RMB,22,,20221008164630.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
0718,28,0809,智能开平测试1,,RMB,22,,20221008164632.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,25,,,,
JGJG2,3,100000012345,lisx对冲账户,,RMB,22,,20221008163005.0,0,,,0,0,20221014,0,,100000012345,,ALL,,,,,,,,,,,22,,,,
JGJG2,3,100000034567,lisx2,Cuzci1tx83ttiTxRNr9XjQ==,RMB,22,,20221008163449.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
ZDHC,3,100000220308,合约,RXKP9hHkyNWaWMvnoP4qmQ==,RMB,22,18,0.0,0,,,0,0,20221014,0,,,,ALL,,,,-1,,,,,,,22,,,,
MI,3,100022222,ZD交易台账号,,RMB,22,220,,0,,,0,0,20221014,0,,,,,,,,288,,,,,,,22,,,,
2222,28,123456,0002,,RMB,22,,20221008164400.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
MI,3,20012346,MI资金账户,,RMB,22,,20221008165114.0,3,,,0,0,20221014,0,,,,,,,,,,,,,,,22,,,,
ZK000001,3,202205091796,C账户,,RMB,22,,20221008163145.0,3,,,0,0,20221014,0,,202205091796,,ALL,,,,,,,,,,,22,,,,
ZK000001,3,202205091797,B账户,,RMB,22,,20221008163205.0,3,,,0,0,20221014,0,,202205091797,,ALL,,,,,,,,,,,22,,,,
ZKC,3,202205101797,C账户,,RMB,22,,20221008163225.0,3,,,0,0,20221014,0,,202205101797,,ALL,,,,,,,,,,,2301,,,,
ZKB,3,202205101798,B账户,,RMB,22,,20221008163225.0,3,,,0,0,20221014,0,,202205101798,,ALL,,,,,,,,,,,22,,,,
ZKHTZY,3,202207180003,ZKB01,,RMB,22,,20221008164138.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
ZKZGTD,3,202207180007,ZKC01,,RMB,22,,20221008164138.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
zyzc,28,2022081901,AAA,,RMB,22,,0.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,88889999,,,
LLBB,3,202209131346,LLBB,,RMB,22,,0.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
LLBB,3,202209131353,LLBB,,RMB,22,,0.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
LLAB,3,202209131359,LLAB,,RMB,22,,0.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
0001,28,20220914,测试资产数据核对,,RMB,22,370,0.0,0,,,0,0,20221014,0,,,,ALL,,,,539,,,,,,,22,,,,
xx,3,770000000729,合约A,Op0kkeRURWnrIz8dW2IKQw==,RMB,22,,20221008164238.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
xx,3,800000000721,合约0721,Op0kkeRURWnrIz8dW2IKQw==,RMB,22,,20221008164138.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
test02,28,81502,81502,,RMB,22,,20221008165014.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
xx,3,880000000729,合约B,Op0kkeRURWnrIz8dW2IKQw==,RMB,22,,20221008164238.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
HTPB,28,88800004,PBCP4,5STXCKHIAbU601xgefrL9Q==,RMB,22,,20221008165348.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
HTPB,28,88800005,PBCP5,,RMB,22,,20220901135328.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
0001,3,888777999,测试新增,,RMB,22,,,1,,,0,0,20221014,0,,7894,,0^1^2^3^4^5^6^7^8^F^S^D^Z^X^Y^N^H^U^V^W^Q^G^T,,,,,,,,,,,22,,,,
0001,3,89745,89745,,RMB,22,,,0,,,0,0,20221014,0,,,,0^1^2^3^4^5^6^7^8^F^S^D^Z^X^Y^N^H^U^V^W^Q^G^T,,,,,,,,,,,22,,,,
999,3,999hazelB,hazel测试B,,RMB,22,,20221008163549.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
IN_11,28,chan000,chan000,,RMB,22,,20221008174049.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
999,3,CREDIThazelB,CREDIThazelB,,RMB,22,,0.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
IN_8,28,sbl000,sbl000,,RMB,22,,20221008174009.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
IN_5,28,sblkaifa,sblkaifa,,RMB,22,,20221008173949.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
IN_2,3,TESTB,合约B账户_现货,,RMB,22,,20221008162624.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
IN_2,3,TESTB1,合约B账户_期货,,RMB,22,,20221008162625.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
POC_JG,2,000000002079,KS期货测试,jRzV05v6a9UMOfdqdQMW3Q==,RMB,2201,,20220824143925.0,1,Y,,0,0,20221014,0,,000000002079,PW75q7phZtSIipXmxvjz/w==,0^1^2^3^4^5^6^7^8^F^S^D^Z^X^Y^N^H^U^V^Q^G^T,,,,,,,,,,,2201,,,,
zqh,2,000000008686,zqh86,,RMB,2201,,20220726170411.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
JGJG,2,000000054321,lisx期货,,RMB,2201,,20220805101547.0,1,,,0,0,20221014,0,,000000054321,,ALL,,,,,,,,,,,2201,,,,
QH,2,000000054322,lisx期货,,RMB,2201,,20220726170052.0,1,,,0,0,20221014,0,,000000054322,,ALL,,,,,,,,,,,2201,,,,
QH,2,000000054323,sx期货,,RMB,2201,,20220726170054.0,1,,,0,0,20221014,0,,000000054323,,ALL,,,,,,,,,,,2201,,,,
KFCS,2,000020220212,期货测试1,Ukt8kbE5YveMLn47YiBykQ==,RMB,2201,,20220726170049.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
BYCS,2,000020220416,期货1,,RMB,2201,,20220809144431.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
SBJG,2,000020220520,期货,,RMB,2201,,20220726170707.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
SCCS,2,000020220526,期货,,RMB,2201,,20220726170731.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
NBJG,2,000020220530,期货,,RMB,2201,,20220726170825.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
CPSQ000,31,000020220833,20220833,,RMB,2201,,20220831114819.0,2,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
0001,2,0001,测试,,RMB,2201,,0.0,1,,,0,0,20221014,0,,,,D^F^S^Z,,,,,,,,,,,2201,,,,
0712,2,0712,测试期货,,RMB,2201,,20220726171014.0,1,,,0,0,20221014,0,,,,D^F^S^Z,,,,,,,,,,,2201,,,,
0718,2,0718,0718测试,,RMB,2201,,20220823140845.0,1,,,0,0,20221014,0,,,,D^F^S^Z,,,,,,,,,,,2201,,,,
0718,2,0808,智能开平测试,,RMB,2201,,20220823140847.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
DSSC,2,100000000418,qihuo,G+ah6zJ/hz9GSmZOS3KRjA==,RMB,2201,,20220824101832.0,1,Y,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
FUT,2,10500531,FUTU,G+ah6zJ/hz9GSmZOS3KRjA==,RMB,2201,2,20220726165905.0,1,,,0,0,20221014,0,,10500531,,ALL,,,,,,,,,,,,,,,
DSSC,31,12022090600,12312,Htx6s4ahU1+MbOcRMeD0Rg==,RMB,2201,,20220909130141.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
DSSC,2,199545,fangzhen,06b38Zl2LAs80jNZkLCFTw==,RMB,2201,,20220824101904.0,1,Y,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
DSSC,2,200000000418,期权,G17gQSm7Kh2jSXp0K3kfQg==,RMB,2201,,20220824101842.0,2,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,2201
ZK000001,2,202204191789,直报期货,,RMB,2201,,20220726170239.0,1,,,0,0,20221014,0,,202204191789,,ALL,,,,,,,,,,,2201,,,,
DSSC,2,202860,waigua,G17gQSm7Kh2jSXp0K3kfQg==,RMB,2201,,0.0,1,,,0,0,20221014,0,,waiguayanzheng,PW75q7phZtSIipXmxvjz/w==,ALL,,,,,,,,,,,2201,,,,
OTCD,2,33444,对账期货,,RMB,2201,,20220726165947.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
0001,31,339999991,33个股期权-X市场,,RMB,2201,490,,2,,,0,0,20221014,0,,,,,,,,,,,,,,,2201,,,,
0001,31,4444,4444,,RMB,2201,140,,2,,,0,0,20221014,0,,,,,,,,,,,,,,,2201,,,,
NAN,31,562222,个股期权,,RMB,2201,242,,2,,,0,0,20221014,0,,,,,,,,,,,,,,,2201,,,,
0001,31,678678,7777,,RMB,2201,490,,2,,,0,0,20221014,0,,,,,,,,,,,,,,,2201,,,,
haha,2,770000000607,qh0607,haFdRNU4jKGzJ2EpiaCTIg==,RMB,2201,,20220819120910.0,1,,,0,0,20221014,0,,770000000607,,ALL,,,,,,,,,,,2201,,,,
xx,2,77000000526,qh0601,haFdRNU4jKGzJ2EpiaCTIg==,RMB,2201,,20220726170917.0,1,,,0,0,20221014,0,,77000000526,,ALL,,,,,,,,,,,2201,,,,
xx,2,77000000601,0601test,haFdRNU4jKGzJ2EpiaCTIg==,RMB,2201,,0.0,1,,,0,0,20221014,0,,77000000601,,ALL,,,,,,,,,,,2201,,,,
xx,2,770000006014,qihuo61,haFdRNU4jKGzJ2EpiaCTIg==,RMB,2201,,0.0,1,,,0,0,20221014,0,,770000006014,,ALL,,,,,,,,,,,2201,,,,
xx,2,880000000066,qihuo66,,RMB,2201,,20220726170921.0,1,,,0,0,20221014,0,,880000000066,,ALL,,,,,,,,,,,2201,,,,
888,31,990,hazel测试期权,,RMB,2201,,,2,,,0,0,20221014,0,,,,,,,,,,,,,,,2201,,,,
xx,2,990000006015,qihuo6015,8g92v6qcf//g7KJcPP9fmQ==,RMB,2201,,20220809131906.0,1,,,0,0,20221014,0,,990000006015,,ALL,,,,,,,,,,,2201,,,,
0001,31,9999111,个股期权资金账户,,RMB,2201,566,,2,,,0,0,20221014,0,,,,ALL,,,,769,,,,,,,2201,9999111,,,
0001,31,lzqmanag,lzqmanag,,RMB,2201,,0.0,2,,,0,0,20221014,0,,,,0^1^2^3^4^5^6^7^8^F^S^D^Z^X^Y^N^H^U^V^W^Q^G^T,,,,,,,,,,,2201,,,2222222,24081
IN_1,2,TESTFUT,直报普通期货,lGkIh6JV+OpexSB41hzp8g==,RMB,2201,,20220819145840.0,1,Y,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2201,,,,
POC_JG,6,000000002030,KS2测试期货,jRzV05v6a9UMOfdqdQMW3Q==,RMB,2202,,20220830102026.0,1,,,0,0,20221014,0,,000000002030,PW75q7phZtSIipXmxvjz/w==,ALL,,,,,,,,,,,2202,,,,
DSSC,6,194978,代珊珊,Z/tz6kEqoGYP+jQ8hO8AWaxvMjMrRUR3a+B0PVNGdME=,RMB,2202,,20220830102513.0,1,Y,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2202,,,,
POC_JG,6,202860,ctp仿真px,zoNHsQ3tXKTVly8w7KrG6XYLKNW2ZxXTj6hoXTvNZIE=,RMB,2202,,20220830102128.0,1,,,0,0,20221014,0,,202860,,ALL,,,,,,,,,,,2202,,,,
0718,36,000000001173,债券,WNCmLSg7fOtV7j5KPUReVQ==,RMB,2203,,0.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2203,,,,
FAST,39,000000002178,四代直报,,RMB,2300,,20221011100142.0,0,,,0,0,20221014,0,,000000002178,,ALL,,,,,,,,,,,2300,,,,
hl_JiSu,39,000020220927,兴业对冲端_hl927,,RMB,2300,661,20221011094800.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2300,,,,
hl_JiSu,39,664|824,兴业SWAP分中心对冲账户,V0OYR7lb7ckfF/7OY4kOMw==,RMB,2300,689,20221013114542.0,0,,,0,0,20221014,0,,,,ALL,,,,-1,,,,,,,2416,,,,
hl_JiSu,39,930001,hl930,,RMB,2300,702,20221011094840.0,0,,,0,0,20221014,0,,,,ALL,,,,-1,,,,,,,2300,,,,
ZZTT,39,llx0002,llx0002,,RMB,2300,,0.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2300,,,,
DSSC,1,000000000418,xianhuo,,RMB,2301,20,20221008162203.0,0,,,0,0,20221014,0,,,,0^1^2^3^4^5^6^7^8^F^S^D^Z^X^Y^N^H^U^B^V^W^Q^G^T,,,,27,,,,,,,2301,,,,
xx,1,000000000913,现场0913,,RMB,2301,,20221008175919.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
DZCS,1,000000000948,ywn2,,RMB,2301,,20220517212134.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,,,,,2201
2022,1,000000001159,wr交易测试001,,RMB,2301,231,20220831093913.0,0,,,0,0,20221014,0,,,,0^1^2^3^4^5^6^7^8^F^S^D^Z^X^Y^N^H^U^V^W^Q^G^T,,,,,,,,,,,2301,,,,
POC_JG,1,000000001998,WJR,G17gQSm7Kh2jSXp0K3kfQg==,RMB,2301,,20221008162825.0,0,,,0,0,20221014,0,,000000001998,PW75q7phZtSIipXmxvjz/w==,ALL,,,,,,,,,,,2301,,,,
POC_JG,1,000000002078,KS测试,G17gQSm7Kh2jSXp0K3kfQg==,RMB,2301,,20221008162003.0,0,,,0,0,20221014,0,,000000002078,PW75q7phZtSIipXmxvjz/w==,ALL,,,,,,,,,,,2301,,,,
POC_JG,1,000000006300,港股测试,,HKD,2301,,20221008163858.0,0,,,0,0,20221014,0,,0000000006300,,ALL,,,,,,,,,,,2301,,,,
JS40,1,000000007739,极速4.0A账户,3E9kKtmE+2nZ3OhAJ3NVWg==,RMB,2301,651,0.0,0,,,0,0,20221014,0,,000000007739,,ALL,,,,,,,,,,,2300,,,,
JGJG,1,000000012345,lisx现货,,RMB,2301,,20221008162905.0,0,,,0,0,20221014,0,,000000012345,,ALL,,,,,,,,,,,2301,,,,
ZDHC,1,000000220215,回放测试现货,G17gQSm7Kh2jSXp0K3kfQg==,RMB,2301,18^17^16,20221008162143.0,0,,,0,0,20221014,0,,000000220215,,ALL,,,,-1,,,,,,,2301,,,,
ZDHC,1,000000220308,对冲,RXKP9hHkyNWaWMvnoP4qmQ==,RMB,2301,17,0.0,0,,,0,0,20221014,0,,,,ALL,,,,-1,,,,,,,2301,,,,
KFCS,1,000020220210,现货测试,G17gQSm7Kh2jSXp0K3kfQg==,RMB,2301,,20221008161903.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
KFCS,1,000020220211,现货测试1,Js5DDz8x5EYN7GfEXD+GHw==,RMB,2301,,20221008162023.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
BYCS,1,000020220415,现货1,,RMB,2301,,20221008162403.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
WWZQ,1,000020220511,WWZQ,Y3dfPCzFKNLSZptjJdSJSw==,RMB,2301,,20221008163245.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
SBJG,1,000020220519,现货,,RMB,2301,,20221008163307.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
SCCS,1,000020220525,信用,,RMB,2301,,20221008163338.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
NBJG,1,000020220529,现货,,RMB,2301,,20221008163359.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
QQZQ,1,000020220531,QQZQ信用,G17gQSm7Kh2jSXp0K3kfQg==,RMB,2301,,0.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
NCCS,1,000020220533,信用,,RMB,2301,,20221008163429.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
SED,1,000020220823,D1,,RMB,2301,,20221008164934.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
SED,1,000020220824,D2,,RMB,2301,,20221008164954.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
CPSQ000,1,000020220831,20220831,,RMB,2301,,20221008170551.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
CPSQ000,1,000020220832,20220832,,RMB,2301,,20221008170642.0,1,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
CPSQ000,1,000020220834,20220834,,RMB,2301,,20221008170621.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
QQZQ,1,000020220907,222,,RMB,2301,,20221008161923.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
DSSC,1,000020220909,123,Htx6s4ahU1+MbOcRMeD0Rg==,RMB,2301,,20221008175839.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
QQZQ,1,000020220910,QQZQ现货2,,RMB,2301,,20220906132212.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
hl_JiSu,1,000020220920,hl001,,RMB,2301,519,20221011094740.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
COLO,1,000020220930,123,XKeoN0Z9yqZ5ka1frWYoZw==,RMB,2301,,0.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
COLO,1,000020221001,123234,vGnBvnCR1nJul/3HnivjQw==,RMB,2301,,0.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
20228801,1,000020228201,hl823,,RMB,2301,230^183,20221008165234.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
ZSSH,1,000120220831,上海资金账号,,RMB,2301,,20221008170802.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
POC_JG,1,00020220919,hl01,,RMB,2301,516,20220930094519.0,0,,,0,0,20221014,0,,,,ALL,,,,-1,,,,,,,2301,,,,
ZSSZ,1,000220220831,深圳资金账号,,RMB,2301,,20220831143953.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
POC_JG,1,001,001,,RMB,2301,,20221008163928.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
NAN,1,003,003,,RMB,2301,307,20221008171552.0,0,,,0,0,20221014,0,,,,ALL,,,,450,,,,,,,2301,003,,,
NAN,1,006,006,,RMB,2301,310,20221008171632.0,0,,,0,0,20221014,0,,,,ALL,,,,455,,,,,,,2301,006,,,
NAN,1,0067,0067,,RMB,2301,365,20221008173546.0,0,,,0,0,20221014,0,,,,ALL,,,,533,,,,,,,2301,0067,,,
NAN,1,007,007,,RMB,2301,311,20221008171652.0,0,,,0,0,20221014,0,,,,ALL,,,,456,,,,,,,2301,007,,,
NAN,1,008,008,,RMB,2301,314,20221008171732.0,0,,,0,0,20221014,0,,,,ALL,,,,459,,,,,,,2301,008,,,
NAN,1,009,009,,RMB,2301,352,20221008173102.0,0,,,0,0,20221014,0,,,,ALL,,,,519,,,,,,,2301,009,,,
NAN,1,010,010,,RMB,2301,318,20221008172032.0,0,,,0,0,20221014,0,,,,ALL,,,,466,,,,,,,2301,010,,,
101725,1,02,02,,RMB,2301,480,20221008180159.0,0,,,0,0,20221014,0,,,,ALL,,,,665,,,,,,,2301,02,,,
0001,1,05110829,zj资金账户,,RMB,2301,247,20221008165839.0,0,,,0,0,20221014,0,,05110829,,0^1^2^3^4^5^6^7^D^F^S^X^Y^Z^N^H^V^Q^8^U,,,,,,,,,,,,,,,2301
0001,1,05110830,zj资金账户,,RMB,2301,247,20221008165819.0,0,,,0,0,20221014,0,,05110830,,0^1^2^3^4^5^6^7^D^F^S^X^Y^Z^N^H^V^Q^8^U,,,,,,,,,,,,,,,2301
0001,1,0909090,zll期权资金账号好,,RMB,2301,248,,2,,,0,0,20221014,0,,,,,,,,,,,,,,,2301,,,,1
100,1,100000,100-hazel测试C,,RMB,2301,,0.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
ZD,1,10012345,ZD资金账号1,,RMB,2301,177,20221008164339.0,0,,,0,0,20221014,0,,,,,,,,,,,,,,,22,,,,2301
ZD,1,10054321,ZD资金账号2,,RMB,2301,178,0.0,0,,,0,0,20221014,0,,,,,,,,236,,,,,,,22,,,,2301
0001,1,10114589,zj快速开户,,RMB,2301,322,20221008172152.0,0,,,0,0,20221014,0,,,,ALL,,,,487,,,,,,,2301,10114589,,,
0712,1,1011569,资金账号测试,,RMB,2301,326,20221008172312.0,0,,,0,0,20221014,0,,,,ALL,,,,491,,,,,,,2301,1011569,,,
0001,1,101178,BT资金调整,,RMB,2301,247,20221008165759.0,0,,,0,0,20221014,0,,101178,,,,,,,,,,0^1^2^3^4^5^6^7^8^9^A^B^C^D,,,,,,,2301
NAN,1,102,102,,RMB,2301,494,20221008180401.0,0,,,0,0,20221014,0,,,,ALL,,,,682,,,,,,,2301,102,,,
